"year","fips","pop2020","pop2025","state","stateCode","growthSince2020","name","county","slug","areaMi","densityMi","rank"
2025,48213,82403,89494,"Texas","TX",0.08605269225634982,"Henderson County","Henderson County","texas/henderson-county",874,102.39588100686498,46
2025,48005,86388,87709,"Texas","TX",0.015291475667916776,"Angelina County","Angelina County","texas/angelina-county",798,109.91102756892231,47
2025,48361,84754,87070,"Texas","TX",0.02732614389881305,"Orange County","Orange County","texas/orange-county",334,260.688622754491,48
2025,48099,83130,86224,"Texas","TX",0.037218813905930404,"Coryell County","Coryell County","texas/coryell-county",1052,81.96197718631178,49
2025,48497,68947,84497,"Texas","TX",0.22553555629686572,"Wise County","Wise County","texas/wise-county",904,93.47013274336283,50
2025,48471,76553,84448,"Texas","TX",0.1031311640301491,"Walker County","Walker County","texas/walker-county",784,107.71428571428571,51
2025,48203,68801,72609,"Texas","TX",0.05534803273208233,"Harrison County","Harrison County","texas/harrison-county",900,80.67666666666666,52
2025,48409,68841,71806,"Texas","TX",0.04307026336049735,"San Patricio County","San Patricio County","texas/san-patricio-county",693,103.61616161616162,53
2025,48221,62057,70534,"Texas","TX",0.13660022237620262,"Hood County","Hood County","texas/hood-county",421,167.53919239904988,54
2025,48473,57285,66955,"Texas","TX",0.16880509732041538,"Waller County","Waller County","texas/waller-county",513,130.5165692007797,55
2025,48427,65867,66496,"Texas","TX",0.009549546814034304,"Starr County","Starr County","texas/starr-county",1223,54.371218315617334,56
2025,48467,59758,66224,"Texas","TX",0.10820308577930993,"Van Zandt County","Van Zandt County","texas/van-zandt-county",843,78.55753262158956,57
2025,48347,64616,66137,"Texas","TX",0.02353906153274732,"Nacogdoches County","Nacogdoches County","texas/nacogdoches-county",946,69.91226215644821,58
2025,48199,56350,59103,"Texas","TX",0.048855368234250296,"Hardin County","Hardin County","texas/hardin-county",891,66.33333333333333,59
2025,48071,47019,59010,"Texas","TX",0.25502456453774003,"Chambers County","Chambers County","texas/chambers-county",597,98.84422110552764,60
2025,48001,57930,58754,"Texas","TX",0.014224063524943986,"Anderson County","Anderson County","texas/anderson-county",1063,55.27187206020696,61
2025,48323,57875,58030,"Texas","TX",0.002678185745140338,"Maverick County","Maverick County","texas/maverick-county",1279,45.37138389366693,62
2025,48349,52838,57531,"Texas","TX",0.08881865324198501,"Navarro County","Navarro County","texas/navarro-county",1010,56.96138613861386,63
2025,48325,50952,57077,"Texas","TX",0.12021117914900303,"Medina County","Medina County","texas/medina-county",1325,43.076981132075474,64
2025,48493,50052,57041,"Texas","TX",0.13963477982897787,"Wilson County","Wilson County","texas/wilson-county",804,70.94651741293532,65
2025,48053,49483,56839,"Texas","TX",0.14865711456459785,"Burnet County","Burnet County","texas/burnet-county",995,57.12462311557789,66
2025,48373,50503,56046,"Texas","TX",0.10975585608775718,"Polk County","Polk County","texas/polk-county",1057,53.0236518448439,67
2025,48401,52252,54189,"Texas","TX",0.03707035137411019,"Rusk County","Rusk County","texas/rusk-county",924,58.646103896103895,68
2025,48265,52693,54177,"Texas","TX",0.028163133623061887,"Kerr County","Kerr County","texas/kerr-county",1103,49.11786038077969,69
2025,48013,49128,53880,"Texas","TX",0.09672691744015638,"Atascosa County","Atascosa County","texas/atascosa-county",1220,44.16393442622951,70
2025,48055,45945,53879,"Texas","TX",0.17268473174447707,"Caldwell County","Caldwell County","texas/caldwell-county",545,98.8605504587156,71
2025,48073,50493,53787,"Texas","TX",0.06523676549224655,"Cherokee County","Cherokee County","texas/cherokee-county",1053,51.07977207977208,72
2025,48259,44539,53573,"Texas","TX",0.20283347178876943,"Kendall County","Kendall County","texas/kendall-county",662,80.92598187311178,73
2025,48277,50131,52351,"Texas","TX",0.04428397598292477,"Lamar County","Lamar County","texas/lamar-county",907,57.718853362734286,74
2025,48499,45037,49903,"Texas","TX",0.10804449674711902,"Wood County","Wood County","texas/wood-county",645,77.36899224806201,75
2025,48465,47605,47926,"Texas","TX",0.006742989181808712,"Val Verde County","Val Verde County","texas/val-verde-county",3145,15.23879173290938,76
2025,48097,41748,45250,"Texas","TX",0.0838842579285235,"Cooke County","Cooke County","texas/cooke-county",875,51.714285714285715,77
2025,48459,41046,44935,"Texas","TX",0.09474735662427514,"Upshur County","Upshur County","texas/upshur-county",583,77.0754716981132,78
2025,48143,42719,44911,"Texas","TX",0.05131206254828058,"Erath County","Erath County","texas/erath-county",1083,41.469067405355496,79
2025,48481,41564,41737,"Texas","TX",0.004162255798286996,"Wharton County","Wharton County","texas/wharton-county",1086,38.43186003683241,80
2025,48217,35964,39771,"Texas","TX",0.10585585585585577,"Hill County","Hill County","texas/hill-county",959,41.471324296141816,81
2025,48049,38043,39241,"Texas","TX",0.03149068159714008,"Brown County","Brown County","texas/brown-county",944,41.56885593220339,82
2025,48223,36827,38930,"Texas","TX",0.05710484155646678,"Hopkins County","Hopkins County","texas/hopkins-county",767,50.75619295958279,83
2025,48147,35801,38563,"Texas","TX",0.07714868299768174,"Fannin County","Fannin County","texas/fannin-county",891,43.280583613916946,84
2025,48249,38879,38528,"Texas","TX",-0.009028009979680562,"Jim Wells County","Jim Wells County","texas/jim-wells-county",865,44.541040462427745,85
2025,48477,35804,38285,"Texas","TX",0.06929393363869951,"Washington County","Washington County","texas/washington-county",604,63.38576158940398,86
2025,48321,36287,36833,"Texas","TX",0.015046710943313002,"Matagorda County","Matagorda County","texas/matagorda-county",1093,33.698993595608414,87
2025,48185,29440,34812,"Texas","TX",0.18247282608695659,"Grimes County","Grimes County","texas/grimes-county",787,44.23379923761118,88
2025,48241,32919,33092,"Texas","TX",0.0052553236732586495,"Jasper County","Jasper County","texas/jasper-county",939,35.24174653887114,89
2025,48015,30132,32891,"Texas","TX",0.09156378600823056,"Austin County","Austin County","texas/austin-county",646,50.914860681114554,90
2025,48449,31291,31597,"Texas","TX",0.00977916972931503,"Titus County","Titus County","texas/titus-county",406,77.82512315270937,91
2025,48189,32465,31351,"Texas","TX",-0.03431387648236561,"Hale County","Hale County","texas/hale-county",1005,31.19502487562189,92
2025,48363,28452,30597,"Texas","TX",0.07539013074652035,"Palo Pinto County","Palo Pinto County","texas/palo-pinto-county",953,32.10598111227702,93
2025,48025,31038,30566,"Texas","TX",-0.015207165410142442,"Bee County","Bee County","texas/bee-county",880,34.73409090909091,94
2025,48227,34816,30198,"Texas","TX",-0.13264016544117652,"Howard County","Howard County","texas/howard-county",901,33.516093229744726,95
2025,48407,27533,30128,"Texas","TX",0.09425053572077147,"San Jacinto County","San Jacinto County","texas/san-jacinto-county",569,52.94903339191564,96
2025,48273,30986,29455,"Texas","TX",-0.049409410701607204,"Kleberg County","Kleberg County","texas/kleberg-county",881,33.433598183881955,97
2025,48067,28442,28901,"Texas","TX",0.016138105618451526,"Cass County","Cass County","texas/cass-county",937,30.844183564567768,98
2025,48171,26748,28197,"Texas","TX",0.05417227456258411,"Gillespie County","Gillespie County","texas/gillespie-county",1058,26.65122873345936,99
2025,48331,24774,26609,"Texas","TX",0.07406958908533134,"Milam County","Milam County","texas/milam-county",1016,26.18996062992126,100
2025,48149,24471,26554,"Texas","TX",0.08512116382657031,"Fayette County","Fayette County","texas/fayette-county",950,27.95157894736842,101
2025,48007,23932,26196,"Texas","TX",0.09460137054989137,"Aransas County","Aransas County","texas/aransas-county",252,103.95238095238095,102
2025,48463,24571,25100,"Texas","TX",0.021529445281022408,"Uvalde County","Uvalde County","texas/uvalde-county",1552,16.172680412371133,103
