District,County,Graduation rate 2023,,,,,,,,
LANSINGBURGH ,RENSSELAER,81%,,,,,,,,
LAURENS ,OTSEGO,87%,,,,,,,,
LAWRENCE ,NASSAU,84%,,,,,,,,
LE ROY ,GENESEE,93%,,,,,,,,
LETCHWORTH ,WYOMING,94%,,,,,,,,
LEVITTOWN ,NASSAU,97%,,,,,,,,
LEWISTON-PORTER ,NIAGARA,88%,,,,,,,,
LIBERTY ,SULLIVAN,67%,,,,,,,,
LINDENHURST ,SUFFOLK,93%,,,,,,,,
LISBON ,SAINT LAWRENCE,89%,,,,,,,,
LITTLE FALLS ,HERKIMER,83%,,,,,,,,
LIVERPOOL ,ONONDAGA,87%,,,,,,,,
LIVINGSTON MANOR ,SULLIVAN,86%,,,,,,,,
LIVONIA ,LIVINGSTON,95%,,,,,,,,
LOCKPORT ,NIAGARA,90%,,,,,,,,
LOCUST VALLEY ,NASSAU,97%,,,,,,,,
LONG BEACH ,NASSAU,94%,,,,,,,,
LONG LAKE ,HAMILTON,100%,,,,,,,,
LONGWOOD ,SUFFOLK,88%,,,,,,,,
LOWVILLE ACADEMY & ,LEWIS,94%,,,,,,,,
LYME ,JEFFERSON,100%,,,,,,,,
LYNBROOK ,NASSAU,97%,,,,,,,,
LYNDONVILLE ,ORLEANS,95%,,,,,,,,
LYONS ,WAYNE,85%,,,,,,,,
MADISON ,MADISON,91%,,,,,,,,
MADRID-WADDINGTON ,SAINT LAWRENCE,91%,,,,,,,,
MAHOPAC ,PUTNAM,93%,,,,,,,,
MAINE-ENDWELL ,BROOME,90%,,,,,,,,
MALONE ,FRANKLIN,85%,,,,,,,,
MALVERNE ,NASSAU,95%,,,,,,,,
MAMARONECK ,WESTCHESTER,94%,,,,,,,,
MANCHESTER-SHORTSVILLE  (RED JACKET),ONTARIO,90%,,,,,,,,
MANHASSET ,NASSAU,96%,,,,,,,,
MARATHON ,CORTLAND,87%,,,,,,,,
MARCELLUS ,ONONDAGA,93%,,,,,,,,
MARGARETVILLE ,DELAWARE,96%,,,,,,,,
MARION ,WAYNE,96%,,,,,,,,
MARLBORO ,ULSTER,93%,,,,,,,,
MASSAPEQUA ,NASSAU,98%,,,,,,,,
MASSENA ,SAINT LAWRENCE,84%,,,,,,,,
MATTITUCK-CUTCHOGUE ,SUFFOLK,88%,,,,,,,,
MAYFIELD ,FULTON,84%,,,,,,,,
MCGRAW ,CORTLAND,0%,,,,,,,,
MECHANICVILLE ,SARATOGA,88%,,,,,,,,
MEDINA ,ORLEANS,86%,,,,,,,,
MEXICO ,OSWEGO,91%,,,,,,,,
MIDDLE COUNTRY ,SUFFOLK,93%,,,,,,,,
MIDDLEBURGH ,SCHOHARIE,90%,,,,,,,,
MIDDLETOWN ,ORANGE,89%,,,,,,,,
MILFORD ,OTSEGO,94%,,,,,,,,
MILLBROOK ,DUTCHESS,85%,,,,,,,,
MILLER PLACE ,SUFFOLK,98%,,,,,,,,
MINEOLA ,NASSAU,94%,,,,,,,,
MINERVA ,ESSEX,N/A,,,,,,,,
MINISINK VALLEY ,ORANGE,94%,,,,,,,,
MONROE-WOODBURY ,ORANGE,93%,,,,,,,,
MONTICELLO ,SULLIVAN,75%,,,,,,,,
MORAVIA ,CAYUGA,85%,,,,,,,,
MORIAH ,ESSEX,89%,,,,,,,,
MORRIS ,OTSEGO,92%,,,,,,,,
MORRISTOWN ,SAINT LAWRENCE,89%,,,,,,,,
MORRISVILLE-EATON ,MADISON,84%,,,,,,,,
MOUNT MARKHAM ,HERKIMER,96%,,,,,,,,
MOUNT MORRIS ,LIVINGSTON,95%,,,,,,,,
MOUNT PLEASANT ,WESTCHESTER,93%,,,,,,,,
MOUNT PLEASANT-BLYTHEDALE ,WESTCHESTER,17%,,,,,,,,
MOUNT PLEASANT-COTTAGE ,WESTCHESTER,7%,,,,,,,,
MOUNT SINAI ,SUFFOLK,97%,,,,,,,,
MOUNT VERNON SCHOOL DISTRICT,WESTCHESTER,74%,,,,,,,,
NANUET ,ROCKLAND,93%,,,,,,,,
NAPLES ,ONTARIO,98%,,,,,,,,
NEW HARTFORD ,ONEIDA,95%,,,,,,,,
NEW LEBANON ,COLUMBIA,91%,,,,,,,,
NEW PALTZ ,ULSTER,92%,,,,,,,,
NEW ROCHELLE ,WESTCHESTER,83%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 1,NEW YORK,73%,,,,,,,,
NEW YORK CITY GEOGRAPHIC DISTRICT # 2,NEW YORK,83%,,,,,,,,
